Index,Miles Ran,Pace,Modified Date,UTC Date
1,6.3,7:01 /mi,5/21/2019,2019-05-21 23:06:59 UTC
2,6.24,7:03 /mi,5/26/2019,2019-05-26 13:27:10 UTC
3,5.73,7:03 /mi,5/27/2019,2019-05-27 23:43:50 UTC
4,4,7:30 /mi,5/29/2019,2019-05-30 02:10:58 UTC
5,4.18,7:34 /mi,5/31/2019,2019-06-01 02:35:10 UTC
6,9.73,7:45 /mi,6/1/2019,2019-06-01 14:10:29 UTC
7,6.06,7:26 /mi,6/2/2019,2019-06-02 19:15:22 UTC
8,4.06,7:26 /mi,6/4/2019,2019-06-04 23:36:58 UTC
9,5.18,6:50 /mi,6/6/2019,2019-06-07 02:38:39 UTC
10,4.78,7:21 /mi,6/7/2019,2019-06-08 00:31:56 UTC
11,1.21,7:22 /mi,6/8/2019,2019-06-08 12:30:26 UTC
12,3.12,6:03 /mi,6/8/2019,2019-06-08 13:00:03 UTC
13,1.64,8:19 /mi,6/8/2019,2019-06-08 13:39:27 UTC
14,10.08,8:07 /mi,6/9/2019,2019-06-09 12:39:16 UTC
15,4.77,7:45 /mi,6/12/2019,2019-06-13 02:36:57 UTC
16,7.37,7:31 /mi,6/14/2019,2019-06-15 00:59:53 UTC
17,8.26,7:45 /mi,6/16/2019,2019-06-16 12:58:14 UTC
18,5.26,7:20 /mi,6/19/2019,2019-06-20 00:24:22 UTC
19,10.1,7:28 /mi,6/22/2019,2019-06-22 13:45:57 UTC
20,3.6,7:25 /mi,6/23/2019,2019-06-23 14:24:39 UTC
21,3.28,7:16 /mi,6/28/2019,2019-06-28 04:15:47 UTC
22,6.5,7:40 /mi,6/29/2019,2019-06-30 01:30:00 UTC
23,7.81,7:21 /mi,6/30/2019,2019-06-30 16:56:57 UTC
24,3.08,7:33 /mi,7/3/2019,2019-07-04 02:32:11 UTC
25,6.03,7:35 /mi,7/6/2019,2019-07-07 01:08:56 UTC
26,3.36,7:07 /mi,7/7/2019,2019-07-07 15:25:36 UTC
27,3.2,7:54 /mi,7/9/2019,2019-07-10 02:23:51 UTC
28,4.2,7:33 /mi,7/11/2019,2019-07-12 03:53:33 UTC
29,8.21,7:24 /mi,7/12/2019,2019-07-13 00:50:54 UTC
30,3.8,7:20 /mi,7/14/2019,2019-07-14 12:14:51 UTC
31,8.15,7:48 /mi,7/19/2019,2019-07-20 01:35:29 UTC
32,3.5,7:40 /mi,7/21/2019,2019-07-21 13:00:00 UTC
33,3.5,7:50 /mi,7/28/2019,2019-07-28 15:00:00 UTC
34,4,7:34 /mi,7/30/2019,2019-07-31 03:23:33 UTC
35,6.55,7:19 /mi,8/1/2019,2019-08-02 01:28:36 UTC
36,3.5,7:50 /mi,8/2/2019,2019-08-02 23:30:00 UTC
37,1.29,7:10 /mi,8/3/2019,2019-08-03 12:21:07 UTC
38,4.15,6:38 /mi,8/3/2019,2019-08-03 12:59:40 UTC
39,7.16,7:26 /mi,8/10/2019,2019-08-10 23:47:28 UTC
40,4.17,7:38 /mi,8/14/2019,2019-08-15 00:52:33 UTC
41,7.28,7:40 /mi,8/15/2019,2019-08-16 00:33:53 UTC
42,6.64,7:22 /mi,8/24/2019,2019-08-24 14:36:03 UTC
43,6.11,7:08 /mi,8/29/2019,2019-08-29 12:48:21 UTC
44,5.36,7:03 /mi,9/2/2019,2019-09-02 14:31:52 UTC
45,7.91,7:42 /mi,9/7/2019,2019-09-07 14:36:22 UTC
46,5.1,7:30 /mi,9/13/2019,2019-09-13 23:30:00 UTC
47,4.85,7:53 /mi,9/17/2019,2019-09-17 16:30:00 UTC
48,8.1,7:24 /mi,9/21/2019,2019-09-21 23:30:00 UTC
49,5.1,7:41 /mi,9/27/2019,2019-09-28 00:00:00 UTC
50,4.13,7:06 /mi,10/1/2019,2019-10-04 21:33:22 UTC
51,5.3,6:55 /mi,10/4/2019,2019-10-04 21:33:22 UTC
52,4.03,7:31 /mi,10/11/2019,2019-10-12 02:19:52 UTC
53,5.09,7:17 /mi,10/15/2019,2019-10-15 16:00:23 UTC
54,6.3,7:14 /mi,10/18/2019,2019-10-19 00:12:48 UTC
55,10.44,7:14 /mi,10/20/2019,2019-10-20 14:19:40 UTC
56,4.87,7:18 /mi,10/25/2019,2019-10-25 13:57:48 UTC
57,6.4,7:42 /mi,10/26/2019,2019-10-26 23:06:20 UTC
58,4.44,7:34 /mi,10/29/2019,2019-10-29 23:11:02 UTC
59,7.29,7:07 /mi,10/31/2019,2019-10-31 13:47:25 UTC
60,9.07,7:09 /mi,11/2/2019,2019-11-02 14:23:39 UTC
61,5.25,7:11 /mi,11/5/2019,2019-11-05 16:02:42 UTC
63,5.29,6:57 /mi,11/8/2019,2019-11-08 23:12:13 UTC
63,5.03,6:48 /mi,11/09/2019,2019-11-09 22:47:13 UTC
64,5.66,0<ab /mi,11/17/2019,2019-11-18 01:00:00 UTC
65,6.38,6:39 /mi,11/26/2019,2019-11-26 15:13:28 UTC
